Overall,value,room,location,cleanliness,checkin,service,business,review
0,0,0,1,1,2,2,1,"disappointing stay we have just return from a week in balus , during which we stay at padma balus for just one night at the deluxe chalet.when we arrive at noon , we room be not ready yet , which be expect , so we walk around to check out the pool and the beach .beach access be close by , pool be huge and packed.when we be bring to we deluxe chalet , it reek like cigarette .it be almost as if i be in a lounge/pub before smoking be ban .we notify reception right away and they send someone to come and spray we room with air freshener .the guy suggest we stay in the balcony while the air con circulate the air freshener spray room .after half a hour , the room still smell bad , but it be a little bit better , the pillow case be saturate with cigarette smell , so we call front desk .they do politely apologize that the hotel be fully book , so they recommend send the air freshener guy again .at that point , any suggestion sound promising .almost as soon as we hang up , my boyfriend step on a big wet spot on the floor next to the bed , turn out the air con be leak !we be both laugh so hard because it be quite a ridiculous situation .so i call reception again , they say they would send someone soon .i kindly remind she that we be the stinky room too so it be easier for she to send people .she apologize again .the maintenance guy come with a ladder and know what to do right away so i be guess that the air con leakage be a recur problem .he bring air freshener too !we leave for the beach while he be fix up the place and when we come back we be happy to see dry floor and a bottle of air freshener leave in the room for we .we spray again for the 3rd time since the cigarette smell be still quite apparent .ironically there be a ` do not smoke ' sign right at the front door knob.the pool open until 9pm , we go for a swim at 8pm and it be really nice then .only 5 other people around , the pool bar be still open , you can order a drink and swim around under the star while wait for you drink .indeed the pool at night be more appealing than at day time .we go to the main restaurant for dinner after some pool time , by then the buffet be close , so we just order 2 dish and 2 drink .my oolong tea come in a can and my boyfriend order a glass of ice lemon tea .that ice lemon tea be responsible for he stomach problem for the rest of the trip .we suspect it be the bad ice in the drink .he upset stomach remain for a week since then .overall we be disappoint with padma balus because of the all the great review here .maybe it be just we bad luck with the smoky room/leaky air con/bad ice .i hope it do not happen to you ."
1,0,0,-1,1,-1,-1,-1,"not as great as these review stay here 2 night on november 1st and 2nd .like the review mention , the hotel have be recently renovate .the common area be nice .i have a room with 2 queen .the most disturbing thing about my room be that the floor and ceiling be not level .you can ; t cover that up with fresh paint !the bathroom floor slant about 3 inch in a 4 foot spread .i put a round tube of lotion on the sink counter area and it roll off the counter .carpet be also fairly dirty and somewhat stain .the shower/tub in my bathroom do not drain correctly and after about 3 minute i be up to my ankle in water .yuck !on the plus side , the room be decent size for ny and the free breakfast be decent .i would stay here again if it be under $ 200 a night , but i pay 289 and see the rate in the 349 range quite often .when i check out i inform the gentleman at the front desk about the shower and he do not even aplogize .he say he would make note of it !i feel bad for whoever get that room next .i come to ny quite often on business and i know that this time of year it can be expensive , but this place be not worth the money ."
1,1,2,2,2,0,1,2,"disappoint in front desk staff and room size we be anticipate a special stay for we anniversary trip.the front desk staff couldn鈥檛 even be bother to greet we hello .she take we confirmation information and be annoy that we do not have a additional copy to give she .the room be clean and nicely decorate but very small .the view from we 4th floor window be of two outside building wall , but it be very quiet .my husband talk with the concierge , who he find very helpful .the daily coffee and newspaper in the lobby be nice to have in the early morning .the location be great , only a few block from the wharf .when we checked-out , the front desk clerk didn鈥檛 even bother to ask about we stay , which be very unusual .fortunately , the hotel we stay at in monteray more than make up for we disappointing experience at this hotel ."
2,1,2,2,2,2,2,0,"slightly above average hotel nh doelen from the outside be breathtakingly beautiful .it sit nicely right on the amstel ... my boyfriend stay there for 6 night and although we room be small -lrb- it be necessary for we to unpack because there be no where for we to put we suitcase -rrb- ... although the room be small , the bathroom be quiet spacious ... the room and hotel be extremly clean and all in all , we enjoy we stay !i would suggest ask for a room at the back of the hotel so you have a nice view of the river ..."
2,2,2,1,2,1,2,-1,"great new hotel hotel maritimo vincci be still very new , as be the neighbourhood where building contractor be develop more hotel .we get a good deal on the bookings.com website.the room be extremely speacious , great interior decorating , fabulous rainshower and a big bath tub .we one have dinner at the hotel on the really beautiful terrace .it be a bit expensive , but the food be excellent and so be the service.a few negative point : it take we 3 time go up and down to the reception -lrb- which be a bit frustrating since we just have spend hour in the heat in we car travel from marseille to barcelona -rrb- before we finally receive a key that work .the airco be too strong for I .great when searchin for some coo air after walk in the blister sun , but at night it really get chill .this be entirely personal , i do not support airco easily -lrb- i always get a nasty cold afterwards -rrb- , nor the sound when it turn on every five minute while sleeping.at the time -lrb- august 2005 -rrb- the area do not have many restaurant or bakery , but we do have the barceloneta beach very near.i remember mainly that we do a real bargain in get such a luxurious room ."
0,0,0,2,1,1,1,1,"very run down but great location we stay at the beacon for seven night in april last year .at first we be quite pleased as the foyer be nice and give a good first impression .the room , however , leave a lot to be desire .as we be travel with we 5 and 7 year old we book a two room suite .it have two room and we choose to sleep on the fold out sofa bed as it be in the lounge area and it mean we could watch tv once kid have go to bed .the sofa be incredibly uncomfortable and as a result we both have sore neck during we stay .the decor be very old fashion and , although it be reasonably clean , it just do not feel '' nice .the lift be probably the worst thing about stay there as they be undergo maintenance -lrb- apparently have be for some month ! -rrb-and be very slow .more often than not we would walk the ten floor to we room rather than wait .the staff be quite nice most of the time and the tour desk be great .now , so i do not sound like all i do be whinge , the location be great .there be nothing cooler than get a cab and say west 75th and broadway thanks ' ... so new york !lol it be a short walk to central park and strawberry field , the subway and there be a big international market directly opposite .this be great , as we room have a kitchenette , we buy breakfast supplies/drinks , etc and keep they in we room .the cafe next door to the hotel be great for breakfast with friendly service .we just decide that in new york you be go to pay huge amount of money for very little in term of '' 莽lass ' .we do pay a lot less than we would have do have we stay in time square or the like .however , it do little to detract from we new york experience on the whole .would look elsewhere if we be to return ."
1,0,0,2,1,1,1,1,"lovely location average hotel have read all the glowing report on this site about the hotel borgmann villa i be a bit disappointed with we three night stay last week .i must admit the location of the property be first class beside the park and the tram make it easily accessible to the city centre.the room be very basic and despite send two email which be not answer and a telephone call request a view of the park we room face directly onto next door , i know they be full but not answer email be a bit frustrating .maybe my expectation be high read all the review but it be a very basic 3 star hotel nothing more nothing less .also be prepare for a additional local tax onto you bill despite any confirmation email from you internet book site that say it be already include ."
0,0,0,2,0,2,0,1,"not up to sofitel standard we arrive at the hotel at 7pm and strangely enough there be no porter available to help we with the luggage .check in be quick and effortless and we be assign room 553 .the room be small and not what we have book .the request room be 鈥済arden view鈥?away from the heavy traffic outside the hotel .this room be face the street and it be hot , not just warm but very hot .the air-conditioning be not that but rather a ventilation system which do not cool the room down , open the window mean that the system switch off and of course the street noise become unbearable .as a sofitel privilege customer -lrb- they loyalty card scheme -rrb- the room do feature a welcome platter of fruit and some mineral water .what it do not have be the request double bed ; instead it have two single bed push together with uncomfortable mattress and tiny duvet .not all the sofitel international standard , where be the mybed -lrb- sofitel鈥檚 incredibly comfortable bed -rrb- ?not willing to accept this for 鈧 ?45/night i change room to across the hall but be remind by the staff that the room standard for the category book .well i don鈥檛 agree with that and i find this a inherent problem with german sofitel .they be not up to the international standard .the new room -lrb- 554 -rrb- at least have a double bed -lrb- but alas still two tiny duvet -rrb- and of course the bed be incredibly uncomfortable -lrb- same old mattress -rrb- .but at least it be quiet .positive about the hotel be : the staff -lrb- very courteous at all level -rrb- , the food -lrb- breakfast be excellent and so be dinner in the restaurant -rrb- and location .negative : bed -lrb- if you be use to sofitel bed from around there world don鈥檛 stay here -rrb- , bedding -lrb- old polyester -rrb- , house keep -lrb- on both morning the room be not properly clean and coffee and toiletry supplies be not replenish ; the room be also not very clean with huge stain on the curtain -rrb- , in room equipment -lrb- if you love 70s retro you will love the tv in the room -rrb- .this hotel should not be allow to call itself a sofitel as the room be well below standard , the staff however be right up there ."
0,0,1,1,2,0,1,2,"terrible start off bad .room be book in advanced -lsb- way -rsb- .the 4 of we show up to check in - room not ready !they tell we they would call we when one be ready .2 hour later i call they and low and behold they have one ready .- not - my son have to sleep on a sleeper sofa !they didnt say anything about 75 % of the pool not work or the slide be repair .or even that the main pool water temp be above 80 degree !beware of the extra extravagant charge for the stuff in the fridge ..we stay in one of the cottage which be a little bit of a walk to the parking lot .the cottage be ok .nothing fancy about it .the a.c. in the cottage wasnt great .be from the midwest so we know what heat be .i find out from a groundskeeper that we could call house keep and have a coffee maker bring to the room .food be good , house keep be good .if they would have be informative when we first check in thing might have be better .will stay somewhere else next time ..then the bill be wroung ..."
2,2,2,2,2,2,2,0,"exceptional service and a really great setting set up in the hill , this luxury hideaway be a great spot for we to relax for a couple of day .the fabulous pool be great for lounge , with evian on tap and the best marguarita !the staff be great and often greet we by name as we walk around the hotel wonderful gardens.we have a room with a private patio which be great value compare to other california hotel .the highlight of we stay be be serve a candlelit dinner on we patio - not the usual standard of room service !"
0,0,0,1,0,2,2,-1,"unfortunate hotel experience .do not waste we time !first let I say that the hospitality of the front desk lady be fabulous .they be honest and accommodate and try they best to make we comfortable .so kudos to ms. t and the lady at the fqch.now here be the lowdown : we be give a tour of all the available room so we could choose which one we would like to stay in -lrb- which be nice -- thanks t -rrb- .the room we choose have be recently renovate , but for some reason the water have only 1 temperature -- scalding !the next room have only cold water and reek of smoke .the final room have a hole in the glass of the door , the sit area have 2 arm chair , a coffee table and a amoire with a tv in it -lrb- which do not work -rrb- as well as rope-sized furry cobweb in the rafter .there be a hint of smokiness but at least the water get lukewarm so we could shower -- even though the shower curtain be cover in mold stain .unbelievable .i understand that the hotel in under new ownership and they be in the midst of renovate -- at a snail 's pace .the renovation they have make be mediocre .they website say that every room have a hair drier and that breakfast be offer .no drier in any of we 3 room and the staff inform we that they have not offer breakfast for months.so we suggestion , walk out the front door of the hotel and stand face out in n. rampart .look to you right across the street about a block down .you will see flag fly .this be a sign of hope .this become we savior .down a block or so on n.rampart be the best western french quarter landmark hotel .for $ 10 more per night we have a clean room with a work tv , hair drier , coffee maker and plenty of room to relax .to top it all off they have a complimentary continental breakfast .we check out of the fqch that morning .the lady be very understand and cancel the rest of we stay without penalty -- be inform prior that we would be charge 1 night for cancel on such short notice .we walk on down and check into the best western .it be a great feeling .never think i would be so happy to stay at a best western .i highly recommend the best western on n. rampart .great value , warm hospitality and a safe , comfortable night 's stay ."
2,2,1,-1,2,-1,2,-1,"great spot to relax we just return from the ltus and have a great trip !!i wish that i could still be there now in the sun with a drink in my hand .the resort be not a huge complex ... .but i have never like those anyway .the staff be great and they always have a big smile for you .it can get a bit windy at time so it feel like you skin be fine ... .till you shower !!!the sun be very intense , so bring lot of sunblock .i burn with 30 on the whole trip , but i guess you will know you skin best .the bathroom be fine with lot of hot water and good pressure .if you like to use bar soap , be sure to bring some as they only provide a gel that be a 3 in one !?!?!?i always bring my own shampoo and conditioner , but you might consider soap too .i do need bug spray at night , they like my ankle best .i be not sure if these be mosi bite , but they do itch !!the food be good with lot of choice 's , we never go hungry .the drink be a plenty and man be they potent !!we go to the disco 5 out of 7 night and there be always people in it .i guess it just depend on the crowd you get that week .nikola , alex and edwin will be sure to get you out and dance ... these guy be great fun to hang out with .we have be to many resort over the year and find this one to be great , afterall , a vacation be what you make it ; -rrb- enjoy you trip !!!btw we do not take any pill , or get sick ... .so please do not stress too much .i think we all get so worried after read these that we forget to do what we be ment to on vacation ... .relax"
0,0,0,2,1,0,0,0,"not worth the money ... .whatever you do dont get the shared hotel bus form the airport !the driver charge over the price from the book office to make a profit -lrb- and then you end up in the unmarked minibus , which leave way after the official minibus ! -rrb-.the bus also do not leave the terminal for a very long time , far far quicker and easier to get the train into centraal station -lrb- 15 min -rrb- and then the tram -lrb- 5 , or 2 -rrb- to musuemplein which be then 2 min walk from hotel.rooms be clean , but boring -lrb- furniture look like something from a chain motel -rrb- , lock on the door be flimsy very awkward , tiny unventilated bathroom , no airconditioning and look nothing like the hotel website photo !the dinning room also look nothing like the photo on the website !shame it be a period property but need redecorate urgently.when we be there , another in the party have scaffolding outside she window and the hotel could not understand the security concern .it also say it be non-smoking , but all the staff there come into the bar for they break and smoke in there !the broken glass window downstairs be also attractive!its not worth the price , booking agent -lrb- various website -rrb- try to make out its a very , very good 3 star hotel worth be a 4 star , its not !its a low 3 star with a high room rate , so if you want a hotel that pricey for what it be but in a good location go for it ."
2,2,2,2,2,0,-1,-1,"great hotel , average concierge service we stay at the westin palace for 3 night .the hotel itself be wonderful .nice lobby , restaurant and room .the only thing that disappoint I be the front door/concierge service .after check out , we bring we luggage down and there be 10 step between the elevator and front door .no one help we with we large 3 bags .there be only one doorman who be help someone else with direction so we hail we own cab and put we luggage in ourselves .this happen when we arrive as well .i do not blame the doorman , as he be busy with another guest .i just wish that for friday through sunday night -lrb- probably they busiest day -rrb- they would employ more than one doorman or concierge person ."
2,2,2,2,2,2,2,0,very good excellent price .big room .perfectly clean .good breakfast .central position .but very old furniture .
2,2,1,-1,2,-1,1,-1,"excellent location do ` nt know what to expect for euro 84 per night but we be pleasantlysurprise , excellent location on the fringe of las ramblas but central to explore this fantastic city .the hotel be clean , functional with all the usual amenity of a four star hotel .we stay for three night we aim to take in as many sight and soak up the atmosphere of barcelona , this we do but will come back for more ... and to the hotel calderon ."
0,1,0,0,2,2,2,2,"cute , but some problem the decor be charming , the free breakfast be excellent , we room have a walk-in shower and the staff be surprisingly friendly and helpful for nyc .on the other hand , the neighborhood be a little creepy , esp .pass by the gauntlet of garbage pile high on the sidewalk every day and night .do not be mislead by all new plush top mattress as i be - that apparently mean nicer ticking , not pillow top .the bed be too hard for I .i awake with back pain for the first time in many year .minibar have only coca-cola and alcohol .store water , fruit , or juice prohibit with a electronic alarm to enforce it .cheap plastic cup - no glass .superior queen sleep room 10 ` x12 ' , bath 4 ` x5 ' , pretty small for 3.5 * even in nyc .roof deck closed.maybe all one can expect for the price in nyc -lrb- $ 310 weeknight -rrb- but next time i will try somewhere a little more expensive ."
0,0,2,-1,2,-1,0,-1,"i wish i pay closer attention to the negative review just like everyone here , i diligently read all the positive and negative review , think that those who write negative review be spoil brat -lrb- please forgive I now -rrb- and take a leap of faith-a family of 4 , with two kid , age 3 and 7 .for the first time in my travel experience , i wish i pay more attention to the negative review , but after all , the last resort we go to be sandal mobay and the review be mix as well , but we have time of we life .ok , so let I start : positive :1 .rooms-this be the resort 's biggest play card .they be clean , spacious and comfortable .kid each have a twin size bed , we have a king size bed in a separate area , the bathroom be huge as well .both hot and cold water be run great , we always have plenty of clean towel and supplies .first floor have patio , second floor have terrace .we be in bldg 84 , about 5 minute walk to the beach and 10-15 minute walk to the main area .overall , i be more than impress by the room .the maid service be not come in at the same time each day , somtime , they would be plan to do cleaning during kid nap time , and then it would be too late , but they always make sure to leave clean towel and drink on the terrace .2 .grounds-are vast and beautiful .there be a shuttle bus and sometimes , they be full , no big deal , just hop on the next one , or break you group in two and go .the kid enjoy the mangrove and the bird , it be very pleasant to take a walk before/after dinner and enjoy the nature .3 .entertainers-these guy do terrific job .in the morning , they round folk up for volleyball , salsa dancing lesson at the beach , and at night , they put on amazing show .we especially enjoy the lion king , the tropical show and the legend in concert .these be young and talented folk who deserve numerous round of applause .each of they be like a mix of a dancer , acrobat and gymnast .negative :4 .the beach-while the beach be indeed long and wide , forget about get a beach chair if you be a late sleeper .and , i be not even talk about a beach chair under the palapa , even under the hot sun , there be nothing available !the sand itself be silky .the water can get choppy , not resort 's fault , punta cana be on the north atlantic ocean , not carribean sea , so be prepare that there will be day when it might be not safe for kid to go into the water .5 .the pool-again , it be nice and big , same problem with get the chair .6 .food and service-the food in the buffet be serve in open tray , so fly be all over it and you can not help but be disgust about eat it .the best bet be pasta and grill station , and the service on both of they be pretty good .the waitress be hit or miss .for example , for 6 day in a row , they have be bring soft drink to the table , then one day when i be sit with two kid while hubby be out get they food , i ask one to bring some juice and she tell I i can go and get it myself .even if this option now exist , it be a common courtesy to help a lady with two little kid !also , only a few table have fan above they , so the room be very , very hot .also , they do not let you take food outside the room , so if you kid feel like have a banana for a 11 be snack , good luck here .to book a restaurant , you have to be at the service desk prior to 8 am , and once you get to the front , there be no guarantee that there will be spot you want .you can only book for today or tomorrow , not for the entire stay .they only do 3 seating per evening and book each rest .half-full .i guess this ensure that a -rrb- they be cost-efficient by feed you cheap food at the buffet rather than give you good fare at the rest .b -rrb- they do not strain they staff too much by allow they to take a nice long break between each seating .we be able to book 3 time out of 7 day , el gaucho be really great , bella pasta and el pescador be ok .on the last day , we find out that if you book with apple vacation , and you go to orientation , after that , they would book the rest .for the duration of you stay.i be there during the spring break , so maybe when resort be not crowd , all the thing i write above be not applicable , but it just seem that too many thing i write about be the same issue other people complain about .and , the worst part is-i speak spanish well , not perfectly , but certainly well enough for a decent conversation .in mexico , it help a lot , we would get a great service before even the tip start fly , here , it be useless .so , to sum it up-i would never return to bavaro princess again .i might travel to punta cana again to another resort , i hear iberostar visitor be very happy ."
1,1,2,2,1,0,0,-1,"reservation be not honor , staff be misleading , next time a different hotel we call the hotel to book a room in early september and be tell no room be available for september 26 .we be able to book a premium king on the hotel website for $ 179 .when we arrive at the hotel we be tell the the premium king be not available , but we could have a standard king with a view of the french quarter for $ 139 .we take the reduce rate and get a room look into a airshaft between 2 wing of the hotel .i think the room be ok , but resent the fact that the clerk tell we the room have a view when he know it do not .by the time we get to we room we be ready to start tour the french quarter and i do not feel like waste we time argue about we room and the view .next time in new orlean we will try a different hotel ."
1,2,0,2,2,0,2,1,"beautiful but do we get it .hello to all .we go to the occidental flamenco on sept. 4-11th .we get to the grounds at about 4pm use a cab that cart the 4 of we in we party for 30 total .we get to the front desk and have a bit of a wait but nothing horrible .i do notice that a van full of what be probably apple vacation or funjet .i can see why people would end up wait a while .we go to we room which be in build 13 which we ask for .we room be the worst of the 2 .the air conditioner be not work properly from the get go .it freeze up twice while we be there .oddly there be no way to lock the patio door since it have no hardware on it .ditto for the door to rest room .the other room which my in-law have be much cooler although door also miss the hardware .none of this be a big deal but still need mention .the bed be very nice .also some have say they work on 12 but it be be work on while we be there so i be not sure what that about .all of 12 be close the beach all along here be truly amazing .pic you see on here do not do it justice .this be the reason to come here .there be plenty of place to sit but i believe the resort be not full so it be not hard to get a beach chair .water be pretty much debris free .there be many of the local who come by and try to sell you multiple thing .it be not a bother but be aware the closer you be to the beach the more you will get ask .the beach bar be the hub for the loud drunk .i participate in this twice .the bartender make a strong drink and frequently everyone there will be serve a shot of mamaquana -lrb- not sure on spelling -rrb- .it be good stuff but boy ... anyway the bartender be load of fun .there be a lot of topless lady here which do not bother I but i find it be all along the beach not just we hotel .frankly if this bother you well i do not know what you could do .the pool area be very nice .the water be not cool so to cool off the beach be better .there be bar there as well where the party seem to be as well .there be a snack room above the pool bar you can eat in .food here be hit or miss .something be surprisingly good to disappointing .the hamburger here be bad .when in buffet get little portion of thing and try even if it be a favorite thing .my fav be the pizza , amazing soup , fresh fruit , and some rice dish .we go to the steakhouse which be design to be like a brazilian steak place .meat be ok but spice be need .very bland .the italian be not so good .best thing there be anti pasta .entry be just not tasty .we also do the mexican restaurant .this be we favorite .we live in texa be we eat a lot of tex mex .the food here be the best of the 3 we go to .the chicken fajita be very good .we never get into the oriental place .you have to get reservation to the specialty restaurant which you have to do early .taste differ so i encourage you to try they .service here be never a issue really .people be very friendly and do help you .we do do a lot of tip .we take a ton of 1 dollar bill and give they to many people there .it do seem to help with service but we have decide to do it regardless of the service as the dr be a poor country .i wish we could do more for they .the show here be a bit cheesy but most have a great time .the michael jackson show be the most popular by far .people be all over watch that one .evidently everyone still love the guy .now for what happen to we or I mostly .halfway thru we trip my stomach begin to hurt .after read the many report here i know good and well i get the bug .i as i be typing this be still feel sick 6 day later .i do not know how i get it or where but wham it take I out .of the 4 of we i get it the worst .my wife get a rash probably from vegetation there as we doctor see it a say wow you get into some poison ivy .she leg look awful and she be deal with that now as well .my in law both have stomach problem but not as severe as i. needless to say you people out there need to know that this could happen to you .with the water be undrinkable , you just never know .i be not blame anyone .it happen .the spa be very nice too .they have special so check it out .all in all except for the sickness thing be fine .i would not come here look for luxury .it be not a high end hotel .the star rating for the dr seem to be high .i would cut a star or 2 off they and go from there .i get this trip on skyauction.com and get a great deal .i be satisfied but my stomach may have a different opinion .please feel free to email I for hint or question ."
0,0,0,-1,2,-1,0,-1,"we be not in paradise we stay in hotel paradisus for 8 night have not be good .the price we pay and the service provide we have not be of 5 ***** quality and the reason be : transportation to the hotel be very confusing .no welcome drink or greet upon arrival .we see it later with other arrival .room serviceroom service need management .not enough towel or sometimes nothing until 6pm .bed linen be for a queen size bed .we have a king size bed !!most of the time we get no bottle water for clean the teeeth or drinking .no colorful bed spread .the brochure and the webside look fantastic but none of they be there .no extra bedding for the night because it be sometimes cool .too much noise from other ruede guest with no manner which come home between 4am and 5am in the morning and talk for one hour in front of they room .we ask for another room , no answer .ask for another mattress because it be like you be sleep on a stone .we call to the front desk and get promise they will change it , nothing be happen during we stay .sofa in room be dirty and damaged.bathtop curtain be to short and the bathroom be allways flood after take a shower.food servicefrench gourmet - nice presentation but no seasoning , very bland and no taste.sakura japanese restaurant - the cook be from the dom .republic .need no explaination.palapa grill seafood restaurant - grilled fish overcooked , dry and fishy.lunch buffet - not enough selection .quality be not very special and no flavour .nobody know what be in the chafe dish or on all the plate , because no labelling.dolce vita italian restaurant - some of the dish be good.we never try the mexican restaurant or the brazilbeverage servicefront lobby bar - very good in the night .excellent bartenders.beach bar - very slowbar by hibiscus restaurant - very unfriendly and bad set up not guest friendly.we find only 4 bar and miss the other 3 which we read on the webside .waitersfriendly but 70 % speak no english and be sometimes difficult to get the right thing .head waiter from the restaurant to take the order mostly unfriendly - no smile.the landscaping be very beautiful and well groomed .all restroom in restaurant be nice and cleanin all we pay for a 5 ***** hotel and get 3 *** service .we be very dissapointed .we hear so many complain during we stay and hope the take some time too to let they know.we be blind with the wonderful brochure and the webside about this hotel paradisus .we travel all over the world and have never such a bad experience.two very dissapointed world traveller.bh"
0,0,2,2,2,0,0,1,"only a 3 star if you after a nice clean modern room just for sleep and do not expect all the usual hotel amenity then this be the place for you .it all start from the bus service from the airport arrange by the hotel .after make contact with the driver they do not know who we we be or where the hotel be .a hour and a half later we arrive .after complain to the hotel all we get be a sorry .a small gesture would of be nice to make up for the mistake .the room be nice and recently renovate .however no tea or coffee facilite , no food available from the hotel and no shampoo , the tv selection be poor at best .for I it be the small thing which i need to recuperate after travel a long way .the hotel in my opinoin be not good value for money .i would usually book a 4 star minium however base on the trip advisor review i choose this hotel .the hotel be no where near a 4 star .on the plus side it be in a great location plenty of nice cafe near by as well as a metro station .just a 10 minute walk to the effiel tower ."
